"position";"userid";"user_name";"real_name";"nationality";"car";"time3";"super_rally";"penalty";"rsf_rally"
"1";"10055";"Souza";"SOUZA Alysson";"BR";"Peugeot 208 R2";"15:15.717";"0";"0";"e5bf35ef-b5e0-4ff8-804c-22e56f19a25e"
"2";"9462";"DIACONESCU Remus";"Diaconescu Remus";"RO";"Peugeot 208 R2";"15:29.203";"0";"0";"e5bf35ef-b5e0-4ff8-804c-22e56f19a25e"
"3";"41185";"BUGAJSKI Marcin";"Marcin Bugajski";"PL";"Peugeot 208 R2";"15:59.604";"0";"0";"e5bf35ef-b5e0-4ff8-804c-22e56f19a25e"
"4";"9966";"SecoGio";"Giordano Nicolini";"BR";"Peugeot 208 R2";"16:11.656";"0";"0";"e5bf35ef-b5e0-4ff8-804c-22e56f19a25e"
"5";"10498";"Patrick da Silva";"PB SimRacing ";"BR";"Peugeot 208 R2";"16:12.621";"0";"0";"e5bf35ef-b5e0-4ff8-804c-22e56f19a25e"
"6";"9242";"MASKE Jean";"Jean";"BR";"Peugeot 208 R2";"16:31.626";"0";"0";"e5bf35ef-b5e0-4ff8-804c-22e56f19a25e"
"7";"9375";"COMIN Fernando";"Fernando Comin";"BR";"Peugeot 208 R2";"16:32.040";"0";"0";"e5bf35ef-b5e0-4ff8-804c-22e56f19a25e"
"8";"95931";"Vogel";"Jonas";"DE";"Peugeot 208 R2";"16:42.073";"0";"0";"e5bf35ef-b5e0-4ff8-804c-22e56f19a25e"
"9";"8454";"BASTIANI Rafael";"Rafael - Arcade Team";"BR";"Peugeot 208 R2";"16:50.928";"0";"0";"e5bf35ef-b5e0-4ff8-804c-22e56f19a25e"
"10";"60115";"Marta Pabl0";"Pablo Martin Nobel";"ES";"Peugeot 208 R2";"17:06.247";"0";"0";"e5bf35ef-b5e0-4ff8-804c-22e56f19a25e"
"11";"32003";"gabscarlos";"Gabriel Carlos";"BR";"Peugeot 208 R2";"17:12.673";"0";"0";"e5bf35ef-b5e0-4ff8-804c-22e56f19a25e"
"12";"51693";"Papaizitoo";"Marco Aurelio Batista";"BR";"Peugeot 208 R2";"17:50.217";"0";"0";"e5bf35ef-b5e0-4ff8-804c-22e56f19a25e"
"13";"13025";"CABELO_OLIVEIRA";"FABIO_LOEB";"BR";"Peugeot 208 R2";"18:13.795";"0";"0";"e5bf35ef-b5e0-4ff8-804c-22e56f19a25e"
"14";"78661";"Brunnew";"Bruno Belo";"BR";"Peugeot 208 R2";"18:16.904";"0";"0";"e5bf35ef-b5e0-4ff8-804c-22e56f19a25e"
"15";"87437";"Drunkenstapler";;"ES";"Peugeot 208 R2";"18:29.112";"0";"1.000";"e5bf35ef-b5e0-4ff8-804c-22e56f19a25e"
"16";"73534";"DUTRA Joabe";"Joabe Dutra";"BR";"Peugeot 208 R2";"18:35.964";"0";"0";"e5bf35ef-b5e0-4ff8-804c-22e56f19a25e"
"17";"6886";"MORAES Rodrigo";"Rodrigo Moraes";"BR";"Peugeot 208 R2";"19:32.456";"0";"0";"e5bf35ef-b5e0-4ff8-804c-22e56f19a25e"
"18";"113328";"Loebubar";"Séb";"FR";"Peugeot 208 R2";"19:36.499";"0";"0";"e5bf35ef-b5e0-4ff8-804c-22e56f19a25e"
"19";"100488";"kannwy";"Grze¶ Szyd³owski";"PL";"Peugeot 208 R2";"19:37.289";"0";"0";"e5bf35ef-b5e0-4ff8-804c-22e56f19a25e"
"20";"91423";"GTerra";"PhoenixTerra";"BR";"Peugeot 208 R2";"20:07.543";"0";"1.000";"e5bf35ef-b5e0-4ff8-804c-22e56f19a25e"
